IATA,Continent,Latitude,Longitude
EIN,Europe,51.4500999451,5.37452983856
GRQ,Europe,53.1197013855,6.57944011688
GLZ,Europe,51.56740188598633,4.931829929351807
DHR,Europe,52.92340087890625,4.780620098114014
LEY,Europe,52.4603,5.52722
LWR,Europe,53.22859954833984,5.760560035705566
RTM,Europe,51.956902,4.43722
UTC,Europe,52.1273002625,5.27618980408
ENS,Europe,52.275833,6.889167
LID,Europe,52.1660995483,4.41794013977
WOE,Europe,51.4491,4.34203
ORK,Europe,51.84130096435547,-8.491109848022461
GWY,Europe,53.300201416015625,-8.941590309143066
DUB,Europe,53.421299,-6.27007
NOC,Europe,53.910301208496094,-8.818490028381348
KIR,Europe,52.18090057373047,-9.52377986907959
SNN,Europe,52.702,-8.92482
SXL,Europe,54.280200958252,-8.5992097854614
WAT,Europe,52.187198638916016,-7.086959838867188
AAR,Europe,56.2999992371,10.619000434899998
BLL,Europe,55.7402992249,9.15178012848
CPH,Europe,55.617900848389,12.656000137329
EBJ,Europe,55.525902,8.5534
KRP,Europe,56.29750061035156,9.124629974365234
BYR,Europe,57.27719879150391,11.000100135803224
MRW,Europe,54.699299,11.4401
ODE,Europe,55.47669982910156,10.330900192260742
RKE,Europe,55.58560180664063,12.131400108337402
RNN,Europe,55.06330108642578,14.759599685668944
SGD,Europe,54.96440124511719,9.791729927062988
SKS,Europe,55.221048,9.26702
SQW,Europe,56.550201416015625,9.172980308532717
TED,Europe,57.06880187988281,8.705220222473145
FAE,Europe,62.0635986328125,-7.277219772338867
STA,Europe,55.9901008605957,8.353910446166992
AAL,Europe,57.0927589138,9.84924316406
LUX,Europe,49.6233333,6.2044444
AES,Europe,62.5625,6.119699954986572
ANX,Europe,69.292503356934,16.144199371338
ALF,Europe,69.976097106934,23.371700286865
BNN,Europe,65.461097717285,12.217499732971
BOO,Europe,67.26920318603516,14.365300178527832
BGO,Europe,60.29339981,5.218140125
BJF,Europe,70.60050201416,29.691400527954
KRS,Europe,58.204201,8.08537
DLD,Europe,60.41730117797852,8.518349647521973
BDU,Europe,69.055801391602,18.540399551392
EVE,Europe,68.491302490234,16.678100585938
VDB,Europe,61.015598297119,9.2880601882935
FRO,Europe,61.583599090576,5.0247201919556
OSL,Europe,60.121,11.0502
HAU,Europe,59.34529876709,5.2083601951599
HAA,Europe,70.486701965332,22.139699935913
KSU,Europe,63.111801147461,7.824520111084
KKN,Europe,69.725799560547,29.891300201416
FAN,Europe,58.0994987487793,6.626049995422363
MOL,Europe,62.744701385498,7.2624998092651
MJF,Europe,65.783996582031,13.214900016785
LKL,Europe,70.068801879883,24.973499298096
NTB,Europe,59.565701,9.21222
OLA,Europe,63.69889831542969,9.604000091552734
RRS,Europe,62.578399658203,11.342300415039
RYG,Europe,59.378817,10.785439
LYR,Europe,78.246101379395,15.465600013733
SKE,Europe,59.185001373291016,9.566940307617188
SRP,Europe,59.791900634765625,5.340849876403809
SSJ,Europe,65.956802368164,12.468899726868
TOS,Europe,69.68329620361328,18.91889953613281
TRF,Europe,59.1866989136,10.258600235
TRD,Europe,63.4578018,10.9239998
SVG,Europe,58.876701354,5.6377801895
GDN,Europe,54.37760162353516,18.46619987487793
KRK,Europe,50.077702,19.7848
KTW,Europe,50.4743,19.08
POZ,Europe,52.4210014343,16.8262996674
RZE,Europe,50.1100006104,22.0189990997
SZZ,Europe,53.584701538100006,14.9021997452
OSP,Europe,54.47890090942383,17.107500076293945
WAW,Europe,52.1656990051,20.9671001434
WRO,Europe,51.1026992798,16.885799408
IEG,Europe,52.1385002136,15.7986001968
RNB,Europe,56.266700744629,15.265000343323
GOT,Europe,57.662799835205,12.279800415039
JKG,Europe,57.757598876953125,14.068699836730955
LDK,Europe,58.4655,13.1744
GSE,Europe,57.7747,11.8704
KVB,Europe,58.45640182495117,13.972700119018556
THN,Europe,58.31809997558594,12.345000267028809
KSK,Europe,59.34590148925781,14.49590015411377
MXX,Europe,60.957901,14.5114
NYO,Europe,58.78860092163086,16.912200927734375
KID,Europe,55.92169952392578,14.08549976348877
OSK,Europe,57.350498,16.497999
KLR,Europe,56.68550109863281,16.287599563598633
MMX,Europe,55.536305364,13.3761978149
HAD,Europe,56.69110107421875,12.820199966430664
VXO,Europe,56.92910003662109,14.727999687194824
EVG,Europe,62.04779815673828,14.422900199890137
GEV,Europe,67.13240051269531,20.814599990844727
HUV,Europe,61.7681007385,17.0806999207
KRF,Europe,63.04859924316406,17.76889991760254
LYC,Europe,64.54830169677734,18.71619987487793
SDL,Europe,62.528099060058594,17.443899154663086
OER,Europe,63.40829849243164,18.989999771118164
KRN,Europe,67.821998596191,20.336799621582
SFT,Europe,64.62480163574219,21.07690048217773
UME,Europe,63.791801452637,20.282800674438
VHM,Europe,64.5791015625,16.833599090576172
AJR,Europe,65.59030151367188,19.28190040588379
ORB,Europe,59.22370147705078,15.038000106811523
VST,Europe,59.58940124511719,16.63360023498535
LLA,Europe,65.543800354004,22.121999740601
ARN,Europe,59.651901245117,17.918600082397
BMA,Europe,59.354400634765625,17.941699981689453
BLE,Europe,60.422000885009766,15.515199661254885
HLF,Europe,57.525799,15.8233
GVX,Europe,60.593299865722656,16.951400756835938
LPI,Europe,58.4062004089,15.6805000305
NRK,Europe,58.58629989624024,16.250600814819336
EKT,Europe,59.35110092163086,16.70840072631836
VBY,Europe,57.662799835205,18.346200942993
SPM,Europe,49.9726982117,6.69250011444
